frame,idx,hdim_1,hdim_2,num,threshold_value,feature,time,timestr,y,x
24,5,38.41491797829552,2.2215599592717226,24,3,99,2026-02-20 08:09:17+00:00,2026-02-20 08:09:17,5489.886281570775,20893.089430863005
24,8,40.0,73.0,1,3,100,2026-02-20 08:09:17+00:00,2026-02-20 08:09:17,6129.032258064517,49346.73366834171
24,11,58.16542888600957,105.22243446816677,45,3,101,2026-02-20 08:09:17+00:00,2026-02-20 08:09:17,13453.80197016515,62300.47616810725
24,13,33.17579889179855,160.4405575164143,3,8,102,2026-02-20 08:09:17+00:00,2026-02-20 08:09:17,3377.338262821997,84498.7165895133
24,14,35.425608041295305,179.4421437432602,24,8,103,2026-02-20 08:09:17+00:00,2026-02-20 08:09:17,4284.519371490043,92137.54522342118
24,15,39.126667168928016,107.7219825115208,8,8,104,2026-02-20 08:09:17+00:00,2026-02-20 08:09:17,5776.881922954845,63305.31960262143
24,16,43.23647137018013,26.477520482167403,10,8,105,2026-02-20 08:09:17+00:00,2026-02-20 08:09:17,7434.0610363629585,30644.229339564787
24,17,56.74978245917387,3.728769722546674,151,8,106,2026-02-20 08:09:17+00:00,2026-02-20 08:09:17,12882.976798053982,21499.00290353635
24,18,48.61105497512668,94.3991317372912,5,8,107,2026-02-20 08:09:17+00:00,2026-02-20 08:09:17,9601.231844809146,57949.3996933834
25,2,18.338873958880843,94.40479470929806,7,3,108,2026-02-20 08:14:32+00:00,2026-02-20 08:14:32,-2605.292758515789,57951.67626504445
25,3,34.275619584927746,103.72128191236409,21,3,109,2026-02-20 08:14:32+00:00,2026-02-20 08:14:32,3820.8143487611883,61696.99775371421
25,7,36.13274255150062,183.64138664301115,35,3,111,2026-02-20 08:14:32+00:00,2026-02-20 08:14:32,4569.654254637347,93825.68307256729
25,11,52.42362868456125,22.0,2,3,113,2026-02-20 08:14:32+00:00,2026-02-20 08:14:32,11138.559953452117,28844.22110552764
25,12,61.670915722312515,105.11055853252296,5,3,114,2026-02-20 08:14:32+00:00,2026-02-20 08:14:32,14867.304726738917,62255.50091759717
25,14,18.072722566195637,139.2295737113188,24,8,115,2026-02-20 08:14:32+00:00,2026-02-20 08:14:32,-2712.611868469501,75971.68792414827
25,15,35.0,162.4352362160078,2,8,116,2026-02-20 08:14:32+00:00,2026-02-20 08:14:32,4112.903225806453,85300.59747377198
25,16,40.0,80.47631793555405,2,8,117,2026-02-20 08:14:32+00:00,2026-02-20 08:14:32,6129.032258064517,52352.288617308164
25,18,56.71975795800542,6.447436447281712,262,8,119,2026-02-20 08:14:32+00:00,2026-02-20 08:14:32,12870.870144357024,22591.934250163504
26,3,32.06325835417049,104.30535631392843,18,3,120,2026-02-20 08:19:24+00:00,2026-02-20 08:19:24,2928.7332073268126,61931.801533237565
26,5,35.013183136112666,169.2219237991662,11,3,121,2026-02-20 08:19:24+00:00,2026-02-20 08:19:24,4118.219006497044,88028.91409011706
26,8,17.756722936804007,145.567575068597,30,8,122,2026-02-20 08:19:24+00:00,2026-02-20 08:19:24,-2840.031073869352,78519.62816828021
26,9,16.513859462701497,0.5417560854209171,4,8,123,2026-02-20 08:19:24+00:00,2026-02-20 08:19:24,-3341.1857005235897,20217.79139112399
26,10,36.0,14.0,1,8,124,2026-02-20 08:19:24+00:00,2026-02-20 08:19:24,4516.129032258064,25628.140703517587
26,11,39.64310250435706,83.07245399869699,10,8,125,2026-02-20 08:19:24+00:00,2026-02-20 08:19:24,5985.121977563331,53395.96140651135
26,12,56.2614458928643,9.368852075191876,419,8,126,2026-02-20 08:19:24+00:00,2026-02-20 08:19:24,12686.066892283994,23766.372693544472
27,9,61.527695696649864,77.79365696631245,7,3,128,2026-02-20 08:24:26+00:00,2026-02-20 08:24:26,14809.554716391076,51273.831946256265
27,12,0.31555437389738833,7.289362616517007,4,8,130,2026-02-20 08:24:26+00:00,2026-02-20 08:24:26,-9872.76033310589,22930.39703176563
27,13,14.8758424032486,148.4624637447594,31,8,131,2026-02-20 08:24:26+00:00,2026-02-20 08:24:26,-4001.6764503029835,79683.40251045604
27,14,16.670732707008632,5.668278330342355,37,8,132,2026-02-20 08:24:26+00:00,2026-02-20 08:24:26,-3277.930360077164,22278.704856419037
