height,frame,idx,reflectivity,num,y,x,hdim_1,hdim_2,threshold_value,feature,time,timestr
1700.0,15,14,13.016011238098145,1,16487.117069307205,55116.26920709171,53.0,34.0,11.103884220123291,65,2026-02-20 07:26:16,2026-02-20 07:26:16
1700.0,15,17,14.948715209960938,5,3328.173177869614,77942.80951650895,24.050323438837303,83.85695711063525,16.10388422012329,67,2026-02-20 07:26:16,2026-02-20 07:26:16
1700.0,15,22,18.79962921142578,13,5807.127175631859,71015.58106315209,29.504022233914245,68.72673907439169,16.10388422012329,72,2026-02-20 07:26:16,2026-02-20 07:26:16
1700.0,16,7,4.381632328033447,5,14242.07450938638,55492.17136412749,48.06090636817419,34.82103277444091,6.103884220123291,75,2026-02-20 07:31:04,2026-02-20 07:31:04
1700.0,16,9,7.819687843322754,2,18062.30488511317,61526.037930495644,56.465413194773134,48.0,6.103884220123291,77,2026-02-20 07:31:04,2026-02-20 07:31:04
1700.0,16,11,8.033510208129883,2,19671.05286847186,62441.719176696206,60.00465875816225,50.0,6.103884220123291,79,2026-02-20 07:31:04,2026-02-20 07:31:04
1700.0,16,23,16.226558685302734,1,2396.2079783981117,79839.6628545069,22.0,88.0,16.10388422012329,85,2026-02-20 07:31:04,2026-02-20 07:31:04
1700.0,16,24,17.96237564086914,3,5234.1853652726295,72056.37226180211,28.24355025112394,71.0,16.10388422012329,86,2026-02-20 07:31:04,2026-02-20 07:31:04
1700.0,16,25,24.681163787841797,3,5769.819285760587,54583.41058442772,29.421944876197447,32.83614822324912,16.10388422012329,87,2026-02-20 07:31:04,2026-02-20 07:31:04
1700.0,17,7,6.722658157348633,2,11941.66252385266,55926.13719369813,43.0,35.76888625810959,6.103884220123291,91,2026-02-20 07:35:28,2026-02-20 07:35:28
1700.0,17,8,6.654334545135498,3,20013.080158809556,61684.43026437248,60.75711879690518,48.345955177162466,6.103884220123291,92,2026-02-20 07:35:28,2026-02-20 07:35:28
1700.0,17,13,12.778444290161133,18,5188.93555866501,74351.89774107595,28.144000676587176,76.01380909306303,11.103884220123291,94,2026-02-20 07:35:28,2026-02-20 07:35:28
1700.0,17,15,12.0320405960083,2,4668.935251125386,86528.67164423676,27.0,102.60990670603894,11.103884220123291,96,2026-02-20 07:35:28,2026-02-20 07:35:28
1700.0,17,19,17.0,1,2850.7534329435657,80297.50347760718,23.0,89.0,16.10388422012329,98,2026-02-20 07:35:28,2026-02-20 07:35:28
1700.0,17,21,22.70153045654297,7,5942.013861735661,55737.2271307303,29.800772943342608,35.356275289496494,16.10388422012329,100,2026-02-20 07:35:28,2026-02-20 07:35:28
1700.0,18,7,8.331847190856934,1,9668.935251125384,54658.42858399143,38.0,33.0,6.103884220123291,104,2026-02-20 07:40:06,2026-02-20 07:40:06
1700.0,18,8,7.575883388519287,1,11941.66252385266,59694.67543809452,43.0,44.0,6.103884220123291,105,2026-02-20 07:40:06,2026-02-20 07:40:06
1700.0,18,9,6.357741355895996,1,16941.66252385266,66104.44416149845,54.0,58.0,6.103884220123291,106,2026-02-20 07:40:06,2026-02-20 07:40:06
1700.0,18,14,13.093153953552246,4,3894.4194870650663,82827.56876223197,25.2960653190673,94.5260830013125,11.103884220123291,109,2026-02-20 07:40:06,2026-02-20 07:40:06
1700.0,18,20,18.0,24,4895.17259153768,58306.68572303523,27.497722148907048,40.96839982074881,16.10388422012329,113,2026-02-20 07:40:06,2026-02-20 07:40:06
1700.0,18,21,16.83375358581543,2,5305.691193372008,74529.10677639744,28.40086307294257,76.40086307294257,16.10388422012329,114,2026-02-20 07:40:06,2026-02-20 07:40:06
1700.0,19,9,6.6747822761535645,2,11288.110894768968,59236.83481499425,41.562186416015884,43.0,6.103884220123291,120,2026-02-20 07:45:08,2026-02-20 07:45:08
1700.0,19,14,12.702629089355469,2,4367.176010054367,86861.16601840332,26.33612966964376,103.33612966964377,11.103884220123291,122,2026-02-20 07:45:08,2026-02-20 07:45:08
1700.0,19,18,26.822040557861328,23,4302.681583108639,60686.77928685605,26.19424193036316,46.16691966309907,16.10388422012329,125,2026-02-20 07:45:08,2026-02-20 07:45:08
1700.0,19,19,15.278446197509766,3,5623.36311146688,76994.52998450029,29.09974129275129,81.7857570375894,16.10388422012329,126,2026-02-20 07:45:08,2026-02-20 07:45:08
