height,frame,idx,reflectivity,num,cell,y,x,timestr,hdim_1,hdim_2,threshold_value,feature,time,time_cell,ncells,median_background_noise,mean_background_noise,std_dev,iqr,percent_covered,sigma_threshold,segmentation_threshold
1100.0,6,34,26.557281494140625,28,22,7461.710773515209,64824.9909567551,2026-02-20 11:58:32,18.88928058344378,55.08335649844724,17.65924644470215,201,2026-02-20 11:58:32,0 days 00:12:59,145.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,6,35,17.94639015197754,1,-1,15358.96588884885,56068.487228993996,2026-02-20 11:58:32,36.0,36.0,17.65924644470215,202,2026-02-20 11:58:32,,34.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,7,1,10.094435691833496,3,-1,-1156.715140281662,42946.222172504815,2026-02-20 12:02:45,0.21602443688389383,7.402186314819576,7.659246444702148,203,2026-02-20 12:02:45,,3.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,7,11,7.788681983947754,4,-1,9194.165646683165,83379.84653385829,2026-02-20 12:02:45,22.642932808641017,95.52060574354029,7.659246444702148,210,2026-02-20 12:02:45,,11.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,7,15,7.740653038024902,1,-1,14897.427427310387,65704.45343325924,2026-02-20 12:02:45,35.0,57.0,7.659246444702148,214,2026-02-20 12:02:45,,4.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,7,16,9.492558479309082,1,-1,20897.427427310387,93235.78544544567,2026-02-20 12:02:45,48.0,117.0,7.659246444702148,215,2026-02-20 12:02:45,,20.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,7,24,15.5,1,-1,8435.888965771926,41843.96568936435,2026-02-20 12:02:45,21.0,5.0,12.659246444702148,219,2026-02-20 12:02:45,,2.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,7,27,15.57859992980957,3,-1,26053.2923165184,83717.97576463367,2026-02-20 12:02:45,59.171040593284026,96.25750266656391,12.659246444702148,221,2026-02-20 12:02:45,,9.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,7,30,22.16680335998535,30,22,7335.424729035687,67218.25674533317,2026-02-20 12:02:45,18.615660820404816,60.299084791256426,17.65924644470215,223,2026-02-20 12:02:45,0 days 00:17:12,75.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,7,31,18.191707611083984,1,-1,12128.196658079618,61115.89809789484,2026-02-20 12:02:45,29.0,47.0,17.65924644470215,224,2026-02-20 12:02:45,,97.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,7,32,20.632150650024414,1,-1,14897.427427310387,58362.7648966762,2026-02-20 12:02:45,35.0,41.0,17.65924644470215,225,2026-02-20 12:02:45,,40.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
1100.0,8,1,2.9750444889068604,3,-1,-800.433393070271,39729.52061995429,2026-02-20 12:07:07,0.9879682225085742,0.3919155052705871,7.659246444702148,226,2026-02-20 12:07:07,,7.0,4.659246444702148,5.324386119842529,5.559048652648926,7.376218289136887,30.45641089416739,0.25,8
